,abacavir,abirateron,acetaminop,acetazolam,acetic,adefovir,adenosine,albuterol,alclometas,aliskiren,aluminum,amantadine,ambrisenta,amifostine,amikacin,amino,aminocapro,amiodarone,amitriptyl,amoxapine,amoxicilli,amphetamin,ampicillin,anagrelide,argatroban,aspirin,atropine,azacitidin,azithromyc,bacteriost,belladonna,benzonatat,betamethas,bivalirudi,bleomycin,bosentan,bromphenir,budesonide,bumetanide,bupivacain,busulfan,butenafine,calcipotri,calcitonin,calcium,capecitabi,captopril,carbamazep,cardene,caspofungi,cefazolin,cefdinir,cefixime,cefotaxime,cefotetan,cefoxitin,ceftazidim,cefuroxime,cetirizine,chloramphe,chlordiaze,chloroproc,chlorothia,ciprofloxa,cisatracur,cisplatin,cladribine,clindamyci,clobazam,clobetasol,clomiprami,clonazepam,clonidine,clozapine,codeine,colestipol,collagenas,conjugated,cortisone,cyclopento,cysteamine,cysteine,cytarabine,cytotec,dacarbazin,daptomycin,darifenaci,daunorubic,deferasiro,desipramin,desmopress,desogestre,dexamethas,dexmedetom,dextroamph,dextrose,diazepam,diclofenac,didanosine,diflorason,diflunisal,diflupredn,digoxin,diltiazem,disopyrami,disulfiram,dobutamine,dofetilide,dopamine,dorzolamid,doxepin,doxercalci,doxycyclin,echothioph,edetate,efavirenz,enalaprila,epinephrin,epoprosten,eptifibati,ergotamine,ertapenem,erythromyc,esomeprazo,ethambutol,ethinyl,etodolac,etomidate,etoposide,famotidine,febuxostat,fentanyl,finasterid,floxuridin,fluconazol,fludarabin,fludrocort,flumazenil,fluocinoni,fluorescei,fluorometh,fluoxetine,flurazepam,fluvoxamin,fosamprena,fosphenyto,furosemide,gatifloxac,gentamicin,glipizide,glucagon,glyburide,glycopyrro,granisetro,guanfacine,haloperido,heparin,hydralazin,hydrochlor,hydrocodon,hydrocorti,hydromorph,hydroxocob,hydroxychl,hydroxypro,hydroxypro,hydroxyzin,hyoscyamin,ibuprofen,idarubicin,ifosfamide,imipenem,imipramine,indomethac,insulin,interferon,isoniazid,itraconazo,ketamine,ketoprofen,ketorolac,lactulose,lamivudine,lamivudine,lanoxin,leucovorin,leuprolide,levoleucov,lidocaine,lindane,linezolid,liothyroni,lisinopril,lithium,lorazepam,loxapine,mannitol,meclizine,medroxypro,megestrol,meloxicam,memantine,mepivacain,mesalamine,metaxalone,metformin,methadone,methamphet,methimazol,methocarba,methotrexa,methyldopa,methylphen,methylpred,metoclopra,metoprolol,metronidaz,midazolam,mirtazapin,misoprosto,mitoxantro,mometasone,montelukas,morphine,moxifloxac,multi-vita,mycophenol,nafcillin,nalbuphine,naratripta,nateglinid,nebivolol,nedocromil,nefazodone,neomycin,nevirapine,nizatidine,norepineph,norethindr,nystatin,octreotide,olanzapine,olopatadin,omeprazole,ondansetro,oxaliplati,oxaprozin,oxcarbazep,oxybutynin,oxytocin,paclitaxel,paliperido,pantoprazo,peginterfe,pentamidin,pentostati,pentoxifyl,phenobarbi,physostigm,pindolol,pioglitazo,piroxicam,polymyxin,potassium,pramipexol,prednicarb,prednisolo,pregabalin,procainami,procardia,promethazi,propafenon,propofol,protamine,quinapril,ranolazine,remifentan,repaglinid,rifampin,risedronat,risperidon,ritonavir,rocuronium,ropivacain,rosuvastat,saquinavir,scopolamin,selenium,sertraline,sildenafil,silodosin,simvastati,sodium,somatropin,spironolac,stavudine,succimer,sucralfate,sufentanil,sulfacetam,sulfasalaz,sumatripta,synercid,tacrolimus,talwin,telmisarta,temozolomi,testostero,thallous,thiothixen,timolol,tizanidine,tobramycin,topotecan,trandolapr,tranexamic,triamcinol,triamteren,trimethobe,valproate,valproic,vancomycin,vareniclin,vecuronium,verapamil,vibramycin,vincristin,vinorelbin,vitamin,voriconazo,zafirlukas,zinc,zolmitript,zolpidem
9/30/00,,,2085054,38414,20897,,,3396432,,,9437,105082,,,1415,5500,16,86241,1291927,,955456,0,53937,,,908626,14264,,,5475,209,79964,57595,,232,,3886,,193108,0,,,,744,176141,,152400,678080,,,6119,,,,,0,,26,,23,105447,0,5418,633347,,128,,104151,,64574,61278,1306073,918280,334561,9388,,,,4228,2310,,,368,,285,,,0,,60772,42164,39467,63584,,,82870,844989,149803,,9477,19815,,382753,548728,,12887,742,,52,,302305,,309261,,,,,904,,,,,294875,,93,,83098,,276,,,419,,,,,,,129727,,15851,,92248,,,,4054412,,160371,473852,28897,1019670,993,,121776,686181,111399,109979,1173432,2688204,521430,23712,26,99609,0,0,990390,121813,2071565,,,,283296,128006,2481,20,42321,,183,54201,37602,232660,,,,16233,20,,103659,234187,,0,,292246,1684142,65524,127,506869,249631,80089,,,,,87660,,59627,,6515,167097,105900,78967,728426,171424,695467,1023561,370620,0,,,,,,83310,,24255,,1256,1962,,,,,25996,139144,,,,,720554,,81045,,0,,,,,327066,0,,,,,0,,117356,558982,0,14590,,63133,18222,1463317,,,322545,,,,549803,,,0,,,,,12139,,,,,,,,142,51719,,,,,338812,,431783,,,117730,0,94771,38201,,153,,6606,,,178,,137975,250096,,82381,,,,485769,586340,421,,221192,33315,,,607858,1214,619,,126221,,,56835,,
12/31/00,,,2415626,38952,19299,,,4267246,,,7956,137484,,,1791,6495,31,101448,1303065,,1524218,0,61914,,,995088,14840,,,6899,191,79964,57595,,196,,4671,,202611,14,,,,495,185572,,152400,678931,,,6396,,,,,15,,27,,0,109002,0,5718,608749,,250,34,118369,,68277,64644,1399623,957629,384507,10973,,,0,4458,2521,,,328,,225,,,0,,58854,46658,42620,74032,,0,60241,874498,166280,,10200,20673,,412403,617599,,14152,977,,69,,299111,,364400,,,,,1133,,,,,349237,,150,,95434,,302,,,347,,,,,,,135985,,15153,,84433,249,,,3942329,,171331,482278,27985,1029426,988,,132638,686846,117065,113957,1224649,2911561,521430,26970,28,103937,0,0,995842,136058,2276631,,,,289530,122042,2816,21,42390,,140,54218,39010,213259,,,,15494,0,,110959,209284,,0,,298529,1779838,63584,233,509571,249480,83539,,,,,103438,,62939,,8665,173258,113011,76945,799999,184426,744750,1087930,374877,25,,,,,,93916,,21725,,1114,1981,,,,,25996,83677,,,,,3271594,,11137,,0,,,,,338507,0,,,,,25,,117356,565182,0,13996,,63718,26280,1513307,,,474869,,,,708330,29,,,,,,,13334,,,,,,,,93,54628,,,,,360354,,464443,,,119194,0,95913,38282,,110,,6395,,,160,,137023,253582,,86556,,,,475300,589267,426,,224919,31518,,,619018,1089,608,,138000,,,55313,,
3/31/01,,,2303476,39086,18268,,,4695581,,,7700,186735,,,1666,7498,31,114048,1307336,,1979242,0,57199,,,1018563,15052,,,7509,87,172937,77268,,349,,1562,,196996,13,,,,322,168165,,152400,666697,,,6678,,,,,0,,34,,0,109211,,5417,583477,,237,0,128190,,71032,62193,1403201,977768,426529,11155,,5078,,4458,2358,,,231,,199,,,0,,55905,45290,44549,81284,,502,138416,896807,158775,,10388,20002,,403555,658838,,10224,1089,,79,,297072,,370577,,,,0,922,,,,,387598,,177,,96857,,245,,,658,,0,,,,,140305,,15203,,91671,46325,,,4154346,,192461,485078,29412,981190,1223,,124872,674836,116363,118094,1285443,3007817,563619,30766,79,106840,0,0,1007638,144370,2529933,,,,275716,129009,12341,18,41970,,149,53746,41303,227423,,,,15441,11,,113346,165523,,0,,305255,1819594,63005,205,508973,255413,84189,,,0,,110425,,74024,,7792,179560,115298,76546,749881,197353,755962,1169231,380902,104,,,,,,97384,,18181,,1123,2265,,,,,25996,89739,,,,,835904,,12765,,0,,,3074,,323717,0,0,,,,25,,117356,562643,0,14284,,54383,35812,1521643,,,497760,,,,879474,4938,,,,,,,15153,,,,,,,,53,54110,,,,,368231,,480131,,,117955,0,115888,35268,,110,,5198,,,117,,130998,249029,,101050,,,0,615146,597833,871,,227980,33255,,0,624174,945,714,,144962,,,86615,,
6/30/01,,,2222779,40994,17928,,,3885659,0,,7687,112398,,0,1921,7197,102,128306,1311764,,1477264,0,50265,0,,1191610,15744,,0,8169,47,129656,92074,,384,,740,,200448,42,,,155,176,199963,,152400,668771,,,6688,,385,26,0,0,83,86,,23,109845,0,5461,557612,,267,0,145175,,78311,64945,1417492,1000264,430219,12638,183,30975,0,4622,3064,0,0,359,,260,,,0,,54615,43208,45303,73299,,5829,65196,882063,155336,15,11743,20706,,413157,687403,,5213,1265,,70,,291054,0,364526,,,18,0,1024,12,,11,,334932,,203,80,98836,,380,263561,,654,,0,18,,,,150572,,16635,187,88900,104169,,0,4340824,0,200295,490533,30971,998076,1319,29,127141,651039,122607,120686,1377148,3265458,630721,32813,36,110306,0,0,1089479,141051,2303812,,,58,274116,131589,11388,21,44759,,166,54125,44641,194990,,,,15398,83,,118515,151190,47,72,2311,302929,1843334,60317,300,515951,262184,86637,,,,22,110425,0,75915,,11496,185240,119078,75626,666371,212933,764703,1225079,407571,211,13,526,0,,223,100366,,15354,60,1320,1472,,39,,,25996,85469,17,142,,725,881704,46,13452,,362,37,,33511,0,312677,0,14,,0,24,29,,117356,563350,0,14049,520,59473,31605,1578936,324,14,378923,,,,667348,10763,,0,101,,,,15014,,13,37,,,,,185,55475,99,19,,1034,312140,123,500953,56,,127533,40,113119,39445,36,110,27,4246,15,0,388,,129225,255810,,103366,,446,,670573,639337,743,225,251603,36719,,,636596,1408,804,,151798,,0,79426,,13
9/30/01,323,,1992472,41662,21879,,,3568892,422,,7597,109660,,0,1900,5706,41,128936,1257804,,1226286,20,46873,31,,1197691,16916,,349,7253,69,93923,84137,,352,,598,746,201526,0,0,1761,238,121,182057,0,152400,686142,,,6529,2808,1728,0,0,0,58,1492,1161,70,103384,,5408,616012,,299,,146583,,80532,61412,1477087,997755,454477,14316,187,37513,0,4827,3134,0,0,345,,344,,,0,,52001,45158,47539,68559,,14979,33693,915031,159881,350,11880,19078,,424734,703374,,2544,1873,0,222,450,273490,17,316927,11,,34,0,941,11,,50,,281913,30,409,741,98744,,232,717650,,327,695,0,1016,,860,,153358,,17549,359810,67333,134953,,0,4350859,478,172623,450630,34880,992082,1646,0,122987,626280,120062,114324,1443904,3472111,590456,37301,52,112599,0,0,1057602,139279,2101947,,,53,261918,126069,14489,21,44841,398,153,47340,45990,207400,184,184,,14866,101,,121252,190755,47,121,5803,304752,1918689,56454,334,481433,266350,109988,334,,0,62,110425,0,85943,,14404,185212,122687,69138,565071,208470,779003,1231140,396583,268,304,313,0,839,1079,114750,,13675,58,1502,919,161,89,,,25996,83947,387,284,,3281,853709,49,14901,,116,483,,44572,401,297427,0,21,,0,87,12,,117356,566932,,13280,520,54845,21072,1634380,738,248,311218,,,,616155,14052,,0,6279,,,945,12972,201,1682,308,,,,,244,54107,117,2098,,6387,338242,128,513591,157,0,127486,64,83521,36381,1181,178,794,4299,985,11,257,,124204,259852,,84165,,983,,527559,641007,447,218,260439,39593,,,622737,1170,903,,140618,,1708,141846,213,12
12/31/01,340,,2246883,41283,16241,,,4764973,,,7921,133663,,0,2123,41033,105,144540,1375314,,1780111,,53287,38,,1299191,17902,,851,8183,96,152922,83710,,79,,905,0,204499,19,,1128,313,112,233028,0,152400,683698,,,7209,376,1088,0,,29,77,484,12933,68,103666,,5442,592796,,286,0,153770,,82863,64720,1590621,1068024,484422,13515,196,44022,,4877,3330,0,0,260,,486,,,0,,51562,47112,48453,80990,,20879,33918,942360,160449,409,11873,19883,,462618,763036,,1767,1256,0,136,528,287948,52,419424,0,,676,0,1736,11,,50,,348710,893,1171,462,101418,,339,895643,,374,1085,,205,,,,156220,,17007,1269262,90412,154744,,0,4490542,0,179793,497899,33170,1009431,1910,22,142609,657879,127756,128158,1492264,3759350,593891,41215,52,122576,0,0,1105358,154528,2600091,,,73,268321,132951,14655,21,49608,182,201,51451,48958,228911,1017,1017,,16386,127,,134013,181910,73,128,3764,300692,1964688,56987,249,545843,270272,220735,,,0,62,110425,0,95576,,19690,185931,133350,72908,608633,218057,851186,1334257,425332,174,257,174,0,464,276,127652,,13136,165,1542,528,136,108,,365,25996,79062,400,120,,5051,909620,40,13993,,403,431,,48764,626,307316,0,23,,14,179,37,0,117356,578513,,14529,263,59630,28073,1706936,732,352,448113,,,,759807,17050,0,0,850,,,341,15621,805,19,691,,,,31,244,53563,99,2131,,2687,357760,154,564643,1132,0,129066,64,86286,40907,630,138,962,3911,228,0,286,,123718,262565,,87884,,705,,545688,640998,614,790,255658,40468,,,642576,1025,861,0,148595,,1615,172360,427,
3/31/02,13,,2128307,40485,15756,,,4903446,,,7427,198622,,,2047,10322,158,149912,1341146,,2057553,14425,50158,48,,1285261,17819,,481,7848,99,184466,84962,,311,,924,34,201273,11,,899,171,70,205962,0,152400,668989,,,7057,127,963,0,,0,29,1891,12075,49,100033,,5626,557734,,281,0,159645,,85060,62788,1596794,1070868,499550,13793,185,43575,0,4742,3155,0,0,286,,435,,,0,,48047,44387,44903,81380,,36762,69084,947515,159522,494,12358,19412,,485879,763545,,1221,1144,0,151,344,278280,59,419377,0,,57,0,1785,,,28,,373563,68,2750,88,101503,,492,897402,,369,382,0,1695,,,,156523,,16069,1356617,83218,157812,,0,4403309,118,195602,485486,33070,965147,2027,17,141069,618897,125308,128507,1494242,3852612,593198,44215,41,113655,0,0,1076824,160054,2784775,,,28,254961,129496,14655,21,48582,349,193,44806,45999,229188,178,178,,12394,124,,120699,141203,56,139,1857,305969,1967014,53403,232,527279,259258,241606,522,,0,78,110425,370726,101678,,22995,181659,134890,69355,558574,221099,847353,1343950,406075,188,301,210,0,425,318,146333,556,13346,18,1347,678,0,155,,,25996,86110,392,248,,6216,876307,72,14390,,11,394,,47613,35,292703,0,227,,124,267,41,0,117356,551670,0,14034,1884,60405,39510,1737196,338,464,437323,,,,940043,19189,0,,383,,,,15859,,35,377,,,,24,244,52972,117,338,,3588,329158,200,568393,1195,0,126738,46,101680,37894,443,191,1157,3514,597,0,297,,115959,265701,,102527,0,475,0,555917,624936,1010,271,245466,41338,,,618716,1012,1013,14,147764,,73,172360,373,83
6/30/02,13,,2127916,42301,15654,,,4433544,,,8048,130850,,,2528,12137,190,162427,1366220,,1741474,112926,48928,50,0,1365159,20071,,412,10421,152,142491,102247,,328,39,680,124,208755,0,,270,244,167,227680,,152400,690251,,15,8895,201,633,11,0,34,40,46880,16730,67,104356,,5517,570188,,582,0,185207,,96184,63552,1660360,1114390,538413,81438,0,42621,,4758,3452,0,,301,,403,,,0,,48449,44265,49249,85796,,159467,36346,960342,166993,472,13844,20626,,488788,792369,,896,910,0,71,352,274810,0,394330,0,,235,33,1376,14,,46,,335194,1222,3924,1245,104012,,642,938301,,495,400,0,305,,7441,,171905,,18270,1449101,83690,162594,,0,4584729,148,199213,522092,35603,987100,2573,14,143599,627466,135783,134770,1604124,4183122,646446,47825,38,107518,0,0,1126237,157329,2688790,,0,68,254575,136298,14655,65,57124,405,165,42414,51312,250548,185,185,,13214,54,,117089,122465,58,65,2074,329107,2019544,47524,396,545252,269366,272962,506,,0,77,110425,1264809,108028,,28230,184370,142443,71366,494195,234789,893397,1424192,448760,578,1018,485,0,13015,1324,157870,307,12284,101,1514,802,126,,,,25996,96630,415,1288,,10919,899206,82,15835,,114,533,,50477,69,291969,13,782,,365,144,20,0,117356,571937,0,14098,2110,63785,38592,1893391,790,612,409321,,,,906974,31308,0,,904,,,,17235,35,14,85,,,,32,244,57320,94,376,,3531,407480,192,611465,213,0,124971,11,102719,39151,956,195,1212,3331,290,0,300,,115322,272325,,106271,,286,,587801,634454,856,513,256420,44723,,0,629210,1301,1176,,163399,,73,172360,269,4508
9/30/02,,,2108267,43101,18525,,,4193312,,,7978,119267,,,2454,13326,234,190111,1408448,,1424792,123922,49217,,0,1431471,21610,,727,11402,226,110570,107669,,426,,681,35,219759,0,,,,14,244411,,152400,713025,,,9866,,,15,,36,,72597,19802,70,107797,,6056,629835,,569,,215359,,104405,66353,1735529,1172349,578249,170806,,44301,0,4650,3609,,,371,,498,,,0,,48758,45518,48482,85207,,179501,34585,997746,176439,,13679,21141,,521116,847467,,557,1456,,58,,278064,,379502,,,,39,1348,,,0,,305234,,5774,,102765,,1061,988697,,1070,,0,,,24283,,185084,,19599,1561540,85711,187228,,,4959940,,178809,559648,41069,1057271,2908,,151658,641851,137737,144910,1754562,4588759,655931,55534,52,107459,,,1170868,159824,2637681,0,0,,253331,141957,14655,20,59717,,92,41702,53774,278910,,,,14121,12,,124499,172067,,26,1147242,344619,2119189,34546,323,566514,254011,303276,,,,,110425,1511606,115894,,33317,194490,160866,75224,433686,239757,938096,1552826,474070,1100,,6801,,56125,,176493,,12001,,1119,708,,,,,25996,95905,,52750,,11946,946563,,15056,,,,,50511,,304230,12,680,,,,0,0,117356,593660,,14643,,67241,26512,2155325,,,377805,,,,886862,38294,123,0,,,,,17276,,,,,,,,79,57356,,,,,464804,,663273,,,125022,0,83188,41305,,195,,3177,,,22,,116102,290569,106912,90946,,,,626521,675009,757,,277834,47157,,0,671451,1387,1414,,168244,,,172360,,
12/31/02,,,1972971,42195,17238,,,4959430,,,7497,136140,,,2202,12767,250,189579,1391273,,1996343,145994,54600,,0,1399745,21292,,2903,9855,192,178165,94841,,564,,805,34,216310,0,,,,13,234953,,152400,677112,,,9504,,,26,,52,,129162,6364,45,99990,,6046,629038,,682,0,215186,,102674,64060,1741527,1190355,561402,263066,,42159,12,4449,3958,,0,284,,441,,,0,,46661,46598,38839,96432,,198518,32048,984211,174742,,13635,19467,,499071,836833,,333,1045,,30,,274170,,427210,,,,33,3061,,,0,,340757,,5288,,102259,,1076,977815,,1098,,0,,,33668,,174608,0,18411,1537243,80928,183156,,,4765217,,175591,541640,37988,1013605,2697,,147909,604119,131762,143304,1725036,4699412,581440,57484,87,102444,,,1148656,170605,2840209,,0,,249552,134037,14655,15,56731,,118,38513,53670,278316,,,750266,13810,35,,125167,149521,,0,2260366,335011,2074117,30249,305,559241,215851,293348,,,,,110425,1555568,122222,,37265,194761,156944,71701,428339,241984,943627,1539567,457505,1329,,17734,,50447,,188715,,13488,,1370,748,,,,,25996,84716,,52750,,14988,939124,,15625,,33302,,,48128,,293874,0,761,,,,0,0,117356,572210,,14781,,67219,29751,2188484,,,479812,,,,1254947,41304,171,0,,,,,17428,,,,,,,,54,58191,,,,,318363,,658366,,,122284,0,83083,40963,,195,,2772,,,59,,108685,274414,235222,91429,,,,567689,646196,817,,241402,46980,,0,652662,1055,1611,,150193,,,55855,,
3/31/03,,,1831104,45507,15939,,,4947756,,,7332,172289,,,2250,15652,449,189038,1326230,,2522472,137710,54634,,0,1408853,20561,,903,8369,232,196230,89528,,613,,836,48,208090,0,,,,0,233679,,152400,641643,,,8768,,,31,,69,,157326,6518,22,93125,,5606,577503,,731,0,223174,,102414,60779,1724043,1188368,540811,316543,,43209,30,4258,4429,,0,306,,270,,,32,,42380,43252,17964,97468,,176807,31309,969872,171211,,13620,18494,,458971,818964,,228,1073,,45,,261846,,442975,,,,13,2158,,,0,,369098,,5762,,99291,,1295,968265,,1102,,0,,,38136,,173507,,18139,1579974,75433,173313,,,4657024,,191995,535431,30976,975005,2876,,144530,559399,127860,141854,1786714,4753408,566424,59693,90,95769,,,1134964,179378,2847879,0,0,,233114,131424,14655,20,53518,,78,35864,50628,261094,,,663208,13666,75,,130546,115773,,13,2373290,319766,2033603,33687,243,541370,192790,296977,,,,,110425,1546091,119375,,38498,192002,155298,68179,379647,235943,940901,1542628,441244,1323,115157,20731,,47317,,196127,,14677,,960,699,,,,,25996,87743,,52750,,18458,906502,,6884,,562058,,,45031,,281373,0,1275,,,,0,,117356,547585,,14109,,66650,40513,2164906,,,474925,,,,1524788,43546,140,0,,,,,17870,,,,,,,,57,57118,,,,,314882,,647294,,,129335,0,96737,38190,,195,,2392,,,39,,98694,259373,251552,103659,,,,566632,636698,910,,230411,45142,,0,626918,932,1426,0,137763,,,50765,,
6/30/03,,,1918313,50703,17378,,,4683972,,,9231,124172,,,2772,15650,606,202580,1387782,5978,2488047,142680,53125,,0,1514817,22645,,802,9884,342,165760,97366,,513,,683,45,211516,21,,,,0,255672,,152400,678526,,,6858,,,72,,62,,133903,2935,71,100000,,5689,557834,,549,0,246933,,112298,63817,1852240,1236363,597652,344715,,45355,30,4363,4638,,,253,,480,,,0,,43378,44486,12146,97055,,173276,30696,1004305,189584,,13599,18171,,455021,864238,,200,1475,,68,,268799,,432740,,,,31,1186,,,0,,376558,,6765,,109157,,1224,994271,,599,,0,,,45113,,191202,0,21341,1714575,71620,179518,,,4881265,,204642,580230,31079,994144,3066,,145417,592779,140948,150636,1954112,5200506,642574,69023,128,100908,0,0,1229967,173725,2837747,,38,,241118,140681,14655,14,60025,,113,37533,55931,224181,,,613315,14483,95,,140371,101017,,0,2683768,345321,2164811,35880,419,570402,194301,296977,,,,,110425,1644286,117685,,43528,205521,165888,69650,375128,257878,989943,1636895,485067,2005,392628,23909,,51165,,221900,,14223,,1358,1106,,,,,25996,104684,,52750,,23716,961950,,11015,,710781,,,49650,,294519,0,1401,,,,0,0,117356,571578,0,14118,,71236,47205,2269447,,,438398,,,,1256940,47614,0,0,,,,,20184,,,,,,,,65,62979,,,,,322818,,692202,,0,137396,0,111450,41799,,195,,2098,,,11,,100346,264622,270695,108984,,,,645710,679157,708,32,243556,51238,,0,633100,1455,1331,185,161053,,,54074,,
9/30/03,,,2019358,53869,19568,,,11360953,,,9591,119695,,,2849,17150,583,227224,1432190,5978,2331138,135035,53984,,0,1675994,24644,,295,12240,315,137063,108196,,518,,614,0,229267,117,,,,0,263289,,152400,698668,,,8391,,,86,,95,,114637,877,69,109002,,6762,687082,,564,12,246933,,120744,63683,1927975,1304660,647206,326605,,42764,30,4774,5132,,,303,,364,,,0,,42684,45296,8727,96061,,160062,140287,1027149,224955,,13846,18567,,477038,1006172,,110,1591,,49,,272584,,445347,,,,0,1355,,,,,363353,,7701,,126085,,1614,1003141,,501,,0,,,51630,,200410,,22002,1776373,66993,182225,,,5389774,,186525,634073,38219,994144,3077,,147223,615473,140948,171686,2321776,6051168,679572,77138,145,111084,0,0,1267588,189579,8777257,0,38,,240472,159681,14655,0,62790,18,110,41025,66289,227718,,,625446,15261,127,,151553,135869,,0,3137610,393949,2271974,37116,450,616886,194301,296977,,,0,,110425,1941411,123575,,49048,257412,185085,77990,339624,257878,1073070,1856914,547410,2372,565249,23909,,52494,,265284,,16046,,1467,1066,,,,,25996,121466,,52750,,27532,1051678,,2005,,800016,,,49650,,326398,0,1778,,,,0,,117356,584321,0,14934,,79351,34591,4777184,,,407452,,,,1283858,47614,14,0,,,,,21985,,,,,,,,69,70377,,,,,334336,,692202,,,137396,0,95434,41799,,195,,2189,,,23,,101374,284295,294737,95263,,,,702007,837206,707,13,256017,54666,,0,716279,1455,1656,229,195189,,,64956,,
12/31/03,,,2009330,51792,17411,,0,5676634,,,9105,346394,,,3108,16523,565,226035,1409392,5900,3595543,149216,61050,,,1681452,24760,,468,9494,418,236403,96919,,265,,798,70,222248,102,,,,0,248500,,152400,675165,,,7714,,,42,,87,,160602,1030,59,98687,,6192,2393804,,492,0,282988,,116660,62294,1939680,1319533,682542,318177,,17250,30,4591,5199,,,270,,490,,,13,,41410,243738,6676,112450,,169972,37523,1018519,242147,,13095,18902,,519034,991792,,105,1175,,22,,267377,,514343,,,,16,4473,,,0,,398318,,7886,,136282,,1951,982161,,1464,,40,,,54907,,191325,0,20460,1757705,65475,179377,,,5172219,,188603,740863,35411,1079976,3145,,146028,587492,145257,169358,2347098,6018227,618389,81621,129,107914,0,0,1219359,197387,3701200,,48,,231969,154040,17518,14,62022,,166,41878,65271,236703,,,554957,16449,80,,158976,104883,,18,3369591,454517,2244475,36769,418,609580,185548,296977,,,,,110425,2005021,129878,,51786,497946,184804,71768,342535,301032,1071992,1883236,530886,2680,740183,28745,,47835,,294106,,17238,,1999,1438,,,,,25996,103998,,52750,,27828,1067852,,1854,,667466,,,60483,,317413,74,2974,,,,12,0,117356,561384,,14082,,83918,40199,3509992,,,534366,,,,1896304,47614,0,0,,,,,22789,,,,,,,,134,68988,,,,,330136,,762572,,0,142426,0,98838,44024,,195,,2094,,,52,,94892,269352,302972,101153,,,,649212,803600,837,0,255427,54869,,,702111,1180,1436,264,176918,,,61772,,
3/31/04,,,1881282,49446,15326,,0,5476979,,,8645,204748,,,3181,11451,526,222717,1383895,5616,3482299,153446,56232,,,1669011,24065,,803,8863,224,212595,105022,,204,,535,40,213230,0,,,,0,242630,,152400,655125,,,7081,,,27,,55,,162897,1056,25,97018,,5785,634693,,733,0,273845,,112903,60219,1949247,1322587,687184,307878,,9320,30,4043,4724,,,346,,464,,,0,,39077,41312,5752,95220,,171729,35057,1024980,235578,,13310,17418,,510378,960376,,29,1362,,0,,255517,,511901,,,,0,2332,,,0,,378768,,7843,,133656,,1801,945567,,1468,,0,,0,56539,,189550,,19212,1777345,65819,167659,,,5052886,,203283,1256176,35416,1055635,3258,,141451,558157,137494,164598,2378024,6032532,594005,81440,99,102938,0,0,1200815,207057,3298927,0,0,,223415,150571,14502,0,58048,,185,40095,61276,224032,,,487025,14290,87,,159143,82460,,0,3440661,476427,2197724,36440,432,586579,171604,314083,,,,,110425,2254427,128361,,49645,259743,181211,67368,340247,301136,1052799,1890257,524501,1974,914114,29685,,46242,,299026,,16230,,2159,950,,,,,25996,106114,,52750,0,27218,1065235,,1994,,540635,,,58039,,303464,52,2416,,,,11,0,117356,534386,0,13181,,81598,50030,2348468,,,491335,,,,2021318,49076,0,0,,,,,22931,,,,,,,,83,66409,,,,,314730,,750321,,,136960,0,114405,41710,,195,,1478,,,64,,89774,248481,298908,109474,,,,649458,740141,1516,15,243600,55890,,0,683825,955,1359,378,154580,,,58042,,
6/30/04,,,2016027,52435,17055,,0,11023081,,,12224,122242,,,4162,12549,658,243296,1453257,5662,3017015,158106,71536,,,1838874,26907,,845,11587,316,166959,128363,,355,,425,26,222778,0,,,,0,264031,,152400,682693,,,7783,,,99,,246,,134246,1182,35,103274,,6032,654950,,1069,0,329594,,124919,63041,2091871,1412637,768928,314895,,16485,30,4577,5197,,0,407,,550,,,0,,40766,43634,5125,93198,,177759,40140,1061751,260430,,13310,19299,,524931,1024805,,18,1243,,28,,270608,,493671,,,,20,1808,,,0,,378768,,8944,,146951,,2315,946891,,1442,,0,,54,62851,,206467,,22133,1863041,63752,177963,,,5423486,,212508,1547560,37761,2007659,4407,,152332,592138,151454,186055,2640315,8537931,707767,95841,119,111031,0,0,1332325,197687,3408296,,0,,231442,163990,14502,18,65608,0,170,42919,70148,228852,,,469168,15114,62,,184048,78812,,0,3884860,528599,2353375,37841,548,624467,179015,314083,,,,,69950,2749641,136728,109,57463,283877,198630,74070,350246,341551,1125123,2058266,581577,2471,1065854,33877,,53654,,332760,,17192,,1949,1547,,,,,25996,115303,,52750,0,29624,1120591,,1993,,536168,,,65745,,323183,56,3047,,,,11,,117356,565665,0,13663,,93167,51735,2348468,,,446282,,,,1664755,49076,84,0,,,,,26137,,,,,,,,57,74102,,,,,346888,,827758,,0,350692,0,116416,44646,,195,,1640,,,3528,,92507,262790,323238,116473,,,,754136,839862,1516,43,254568,63840,,0,729283,1464,1025,437,210943,,,70200,,
